Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,"When I see something I want, I just go for it without hesitation",positive,,"Translated: When I see something I want, I just go for it without hesitation to bg","Translated: When I see something I want, I just go for it without hesitation to hr","Translated: When I see something I want, I just go for it without hesitation to cs","Translated: When I see something I want, I just go for it without hesitation to da","Translated: When I see something I want, I just go for it without hesitation to nl","Translated: When I see something I want, I just go for it without hesitation to en","Translated: When I see something I want, I just go for it without hesitation to et"
,,,Developing confidence will improve my life,positive,,Translated: Developing confidence will improve my life to bg,Translated: Developing confidence will improve my life to hr,Translated: Developing confidence will improve my life to cs,Translated: Developing confidence will improve my life to da,Translated: Developing confidence will improve my life to nl,Translated: Developing confidence will improve my life to en,Translated: Developing confidence will improve my life to et
,,,"Feeling confident, assured, and strong is a normal part of my every day life",positive,,"Translated: Feeling confident, assured, and strong is a normal part of my every day life to bg","Translated: Feeling confident, assured, and strong is a normal part of my every day life to hr","Translated: Feeling confident, assured, and strong is a normal part of my every day life to cs","Translated: Feeling confident, assured, and strong is a normal part of my every day life to da","Translated: Feeling confident, assured, and strong is a normal part of my every day life to nl","Translated: Feeling confident, assured, and strong is a normal part of my every day life to en","Translated: Feeling confident, assured, and strong is a normal part of my every day life to et"
,,,I SHOW CONFIDENCE IN ALL THAT I DO,positive,,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to bg,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to hr,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to cs,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to da,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to nl,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to en,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to et
,,,MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS,positive,,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to bg,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to hr,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to cs,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to da,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to nl,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to en,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to et
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,,"Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to bg","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to hr","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to cs","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to da","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to nl","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to en","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to et"
,,,"I AM HAPPY, SMILING, AND ALWAYS HAVING FUN",positive,,"Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to bg","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to hr","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to cs","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to da","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to nl","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to en","Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to et"
,,,MY HAPPINESS IS CONTAGIOUS,positive,,Translated: MY HAPPINESS IS CONTAGIOUS to bg,Translated: MY HAPPINESS IS CONTAGIOUS to hr,Translated: MY HAPPINESS IS CONTAGIOUS to cs,Translated: MY HAPPINESS IS CONTAGIOUS to da,Translated: MY HAPPINESS IS CONTAGIOUS to nl,Translated: MY HAPPINESS IS CONTAGIOUS to en,Translated: MY HAPPINESS IS CONTAGIOUS to et
,,,I am a great person,positive,,Translated: I am a great person to bg,Translated: I am a great person to hr,Translated: I am a great person to cs,Translated: I am a great person to da,Translated: I am a great person to nl,Translated: I am a great person to en,Translated: I am a great person to et
,,,I respect myself deeply,positive,,Translated: I respect myself deeply to bg,Translated: I respect myself deeply to hr,Translated: I respect myself deeply to cs,Translated: I respect myself deeply to da,Translated: I respect myself deeply to nl,Translated: I respect myself deeply to en,Translated: I respect myself deeply to et
,,,My thoughts and opinions are valuable,positive,,Translated: My thoughts and opinions are valuable to bg,Translated: My thoughts and opinions are valuable to hr,Translated: My thoughts and opinions are valuable to cs,Translated: My thoughts and opinions are valuable to da,Translated: My thoughts and opinions are valuable to nl,Translated: My thoughts and opinions are valuable to en,Translated: My thoughts and opinions are valuable to et
,,,I am confident that I can achieve anything,positive,,Translated: I am confident that I can achieve anything to bg,Translated: I am confident that I can achieve anything to hr,Translated: I am confident that I can achieve anything to cs,Translated: I am confident that I can achieve anything to da,Translated: I am confident that I can achieve anything to nl,Translated: I am confident that I can achieve anything to en,Translated: I am confident that I can achieve anything to et
,,,I have something special to offer the world,positive,,Translated: I have something special to offer the world to bg,Translated: I have something special to offer the world to hr,Translated: I have something special to offer the world to cs,Translated: I have something special to offer the world to da,Translated: I have something special to offer the world to nl,Translated: I have something special to offer the world to en,Translated: I have something special to offer the world to et
,,,Others like and respect me,positive,,Translated: Others like and respect me to bg,Translated: Others like and respect me to hr,Translated: Others like and respect me to cs,Translated: Others like and respect me to da,Translated: Others like and respect me to nl,Translated: Others like and respect me to en,Translated: Others like and respect me to et
,,,I am a wonderful human being,positive,,Translated: I am a wonderful human being to bg,Translated: I am a wonderful human being to hr,Translated: I am a wonderful human being to cs,Translated: I am a wonderful human being to da,Translated: I am a wonderful human being to nl,Translated: I am a wonderful human being to en,Translated: I am a wonderful human being to et
,,,I feel great about myself and my life,positive,,Translated: I feel great about myself and my life to bg,Translated: I feel great about myself and my life to hr,Translated: I feel great about myself and my life to cs,Translated: I feel great about myself and my life to da,Translated: I feel great about myself and my life to nl,Translated: I feel great about myself and my life to en,Translated: I feel great about myself and my life to et
,,,"I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER",positive,,"Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to bg","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to hr","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to cs","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to da","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to nl","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to en","Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to et"
