Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation
,,, I consume only my fair share.  ,positive,,Translated:  I consume only my fair share.   to bg,Translated:  I consume only my fair share.   to hr
,,, I offer words of good intent.  ,positive,,Translated:  I offer words of good intent.   to bg,Translated:  I offer words of good intent.   to hr
,,, I relate in peace.  ,positive,,Translated:  I relate in peace.   to bg,Translated:  I relate in peace.   to hr
,,, I honor animals with reverence.    ,positive,,Translated:  I honor animals with reverence.     to bg,Translated:  I honor animals with reverence.     to hr
,,, I can be trusted.  ,positive,,Translated:  I can be trusted.   to bg,Translated:  I can be trusted.   to hr
,,, I care for the Earth.  ,positive,,Translated:  I care for the Earth.   to bg,Translated:  I care for the Earth.   to hr
,,, I keep my own council.  ,positive,,Translated:  I keep my own council.   to bg,Translated:  I keep my own council.   to hr
,,, I speak positively of others.  ,positive,,Translated:  I speak positively of others.   to bg,Translated:  I speak positively of others.   to hr
,,, I remain in balance with my emotions.  ,positive,,Translated:  I remain in balance with my emotions.   to bg,Translated:  I remain in balance with my emotions.   to hr
,,, I am trustful.  ,positive,,Translated:  I am trustful.   to bg,Translated:  I am trustful.   to hr
,,, I hold purity in high esteem.  ,positive,,Translated:  I hold purity in high esteem.   to bg,Translated:  I hold purity in high esteem.   to hr
,,, I spread joy.  ,positive,,Translated:  I spread joy.   to bg,Translated:  I spread joy.   to hr
,,, I do the best I can.  ,positive,,Translated:  I do the best I can.   to bg,Translated:  I do the best I can.   to hr
,,, I communicate with compassion.   ,positive,,Translated:  I communicate with compassion.    to bg,Translated:  I communicate with compassion.    to hr
,,,I listen to opposing opinions.  ,positive,,Translated: I listen to opposing opinions.   to bg,Translated: I listen to opposing opinions.   to hr
,,, I create harmony.  ,positive,,Translated:  I create harmony.   to bg,Translated:  I create harmony.   to hr
,,, I invoke laughter.  ,positive,,Translated:  I invoke laughter.   to bg,Translated:  I invoke laughter.   to hr
,,,I am open to love in various forms.  ,positive,,Translated: I am open to love in various forms.   to bg,Translated: I am open to love in various forms.   to hr
,,, I am forgiving.  ,positive,,Translated:  I am forgiving.   to bg,Translated:  I am forgiving.   to hr
,,,I am kind.  ,positive,,Translated: I am kind.   to bg,Translated: I am kind.   to hr
,,, I act respectfully to others.  ,positive,,Translated:  I act respectfully to others.   to bg,Translated:  I act respectfully to others.   to hr
,,, I am accepting.  ,positive,,Translated:  I am accepting.   to bg,Translated:  I am accepting.   to hr
,,, I follow my inner guidance.  ,positive,,Translated:  I follow my inner guidance.   to bg,Translated:  I follow my inner guidance.   to hr
,,,I converse with awareness.  ,positive,,Translated: I converse with awareness.   to bg,Translated: I converse with awareness.   to hr
,,, I do good.  ,positive,,Translated:  I do good.   to bg,Translated:  I do good.   to hr
,,, I give blessings.   ,positive,,Translated:  I give blessings.    to bg,Translated:  I give blessings.    to hr
,,,I keep the waters pure.   ,positive,,Translated: I keep the waters pure.    to bg,Translated: I keep the waters pure.    to hr
,,, I speak with good intent.  ,positive,,Translated:  I speak with good intent.   to bg,Translated:  I speak with good intent.   to hr
,,, I praise the Goddess and the God.   ,positive,,Translated:  I praise the Goddess and the God.    to bg,Translated:  I praise the Goddess and the God.    to hr
,,, I am humble.  ,positive,,Translated:  I am humble.   to bg,Translated:  I am humble.   to hr
,,, I achieve with integrity.  ,positive,,Translated:  I achieve with integrity.   to bg,Translated:  I achieve with integrity.   to hr
,,, I advance through my own ability.  ,positive,,Translated:  I advance through my own ability.   to bg,Translated:  I advance through my own ability.   to hr
,,,I embrace the All.  ,positive,,Translated: I embrace the All.   to bg,Translated: I embrace the All.   to hr
,,, I inspire others.  ,positive,,Translated:  I inspire others.   to bg,Translated:  I inspire others.   to hr
,,, I empower others.  ,positive,,Translated:  I empower others.   to bg,Translated:  I empower others.   to hr
,,, I lead by example.  ,positive,,Translated:  I lead by example.   to bg,Translated:  I lead by example.   to hr
,,, I only react to constructive suggestions.   ,positive,,Translated:  I only react to constructive suggestions.    to bg,Translated:  I only react to constructive suggestions.    to hr
,,, I am blessed.  ,positive,,Translated:  I am blessed.   to bg,Translated:  I am blessed.   to hr
,,, I see the positive in everything.  ,positive,,Translated:  I see the positive in everything.   to bg,Translated:  I see the positive in everything.   to hr
,,," I have complete faith in myself, my creator, and all others.  ",positive,,"Translated:  I have complete faith in myself, my creator, and all others.   to bg","Translated:  I have complete faith in myself, my creator, and all others.   to hr"
,,, I love everyone unconditionally.  ,positive,,Translated:  I love everyone unconditionally.   to bg,Translated:  I love everyone unconditionally.   to hr
,,, I remain balanced.  ,positive,,Translated:  I remain balanced.   to bg,Translated:  I remain balanced.   to hr
,,, I am prudent.  ,positive,,Translated:  I am prudent.   to bg,Translated:  I am prudent.   to hr
,,, I am patient.  ,positive,,Translated:  I am patient.   to bg,Translated:  I am patient.   to hr
,,,I am genuine.  ,positive,,Translated: I am genuine.   to bg,Translated: I am genuine.   to hr
,,, I am wise.  ,positive,,Translated:  I am wise.   to bg,Translated:  I am wise.   to hr
,,, I have attained unsurpassed perfect enlightenment for the sake of all sentient beings throughout limitless space.  ,positive,,Translated:  I have attained unsurpassed perfect enlightenment for the sake of all sentient beings throughout limitless space.   to bg,Translated:  I have attained unsurpassed perfect enlightenment for the sake of all sentient beings throughout limitless space.   to hr
,,,"I express the divine idea in my mind, body, and affairs.  ",positive,,"Translated: I express the divine idea in my mind, body, and affairs.   to bg","Translated: I express the divine idea in my mind, body, and affairs.   to hr"
,,, I only desire that which infinite intelligence desires though me; I claim that which is mine by divine right and under grace in a perfect way.  ,positive,,Translated:  I only desire that which infinite intelligence desires though me; I claim that which is mine by divine right and under grace in a perfect way.   to bg,Translated:  I only desire that which infinite intelligence desires though me; I claim that which is mine by divine right and under grace in a perfect way.   to hr
,,," I am a beloved child of the universe and I deserve love, peace, and security.  ",positive,,"Translated:  I am a beloved child of the universe and I deserve love, peace, and security.   to bg","Translated:  I am a beloved child of the universe and I deserve love, peace, and security.   to hr"
,,, I open myself to the abundance of the universe.  ,positive,,Translated:  I open myself to the abundance of the universe.   to bg,Translated:  I open myself to the abundance of the universe.   to hr
,,, I am open to receive and accept love.  ,positive,,Translated:  I am open to receive and accept love.   to bg,Translated:  I am open to receive and accept love.   to hr
,,, I am open to receive and be nurtured by the powerful energy of the Earth.  ,positive,,Translated:  I am open to receive and be nurtured by the powerful energy of the Earth.   to bg,Translated:  I am open to receive and be nurtured by the powerful energy of the Earth.   to hr
,,, I open my heart and mind to receive the power of the universe to use for the greatest good of all sentient beings.  ,positive,,Translated:  I open my heart and mind to receive the power of the universe to use for the greatest good of all sentient beings.   to bg,Translated:  I open my heart and mind to receive the power of the universe to use for the greatest good of all sentient beings.   to hr
,,, I welcome opportunities to fulfill my highest potential.    ,positive,,Translated:  I welcome opportunities to fulfill my highest potential.     to bg,Translated:  I welcome opportunities to fulfill my highest potential.     to hr
,,,I use my will to create the best possible life for myself and all others.    ,positive,,Translated: I use my will to create the best possible life for myself and all others.     to bg,Translated: I use my will to create the best possible life for myself and all others.     to hr
,,, I am open to receive prosperity in all its forms.  ,positive,,Translated:  I am open to receive prosperity in all its forms.   to bg,Translated:  I am open to receive prosperity in all its forms.   to hr
,,, My heart is open to give and receive love.  ,positive,,Translated:  My heart is open to give and receive love.   to bg,Translated:  My heart is open to give and receive love.   to hr
